# Log header
#-------------------------------------
# Application: Adult Respiration
# Log description: 
# Device: XeThru X4M200, USB, \\.\COM5
# FW Version: 1.6.8
# SW Version: 2.7.3
# Time: 5/12/2021 7:39 PM
#
# Module settings
#-------------------------------------
# Detection zone: 0.385761 to 0.797284
# Sensitivity: 5
#-------------------------------------
TimeStamp;FrameCounter;State;RPM;Distance;RespirationConfidence;HeartBPM;HeartDistance;HeartConfidence;NormalizedMovementSlow;NormalizedMovementFast;NormalizedMovementStart;NormalizedMovementEnd
2021-05-12T19:39:27.164-04:00;609;2;0;0.588152;0;nan;nan;nan;318.42;2508.53;0.0881516;1.08815
2021-05-12T19:39:28.146-04:00;626;2;0;0.57134;0;nan;nan;nan;563.099;4040.47;0.0713401;1.07134
2021-05-12T19:39:29.143-04:00;643;1;0;0.561133;0;nan;nan;nan;1060.57;5061.18;0.0611332;1.06113
2021-05-12T19:39:30.139-04:00;660;1;0;0.600668;0;nan;nan;nan;1752.98;4749.55;0.100668;1.10067
2021-05-12T19:39:31.137-04:00;677;1;0;0.362301;0;nan;nan;nan;2399.08;2700.94;-0.137699;0.862301
2021-05-12T19:39:32.134-04:00;694;1;0;0.438795;0;nan;nan;nan;2791.04;1420.04;-0.0612046;0.938795
2021-05-12T19:39:33.130-04:00;711;1;0;0.43212;0;nan;nan;nan;2957.79;662.036;-0.0678796;0.93212
2021-05-12T19:39:34.127-04:00;728;1;0;0.423291;0;nan;nan;nan;3026.07;401.077;-0.0767092;0.923291
2021-05-12T19:39:35.152-04:00;745;2;0;0.372505;0;nan;nan;nan;3038.53;154.785;-0.127495;0.872505
2021-05-12T19:39:36.121-04:00;762;2;0;0.362637;0;nan;nan;nan;3048.54;100.187;-0.137363;0.862637
2021-05-12T19:39:37.118-04:00;779;1;0;0.370716;0;nan;nan;nan;3077.65;100.664;-0.129284;0.870716
2021-05-12T19:39:38.115-04:00;796;1;0;0.372669;0;nan;nan;nan;3118.5;84.0303;-0.127331;0.872669
2021-05-12T19:39:39.112-04:00;813;1;0;0.401442;0;nan;nan;nan;3126.25;10.0996;-0.0985582;0.901442
2021-05-12T19:39:40.108-04:00;830;1;0;0.39276;0;nan;nan;nan;2987.25;0.907491;-0.10724;0.89276
2021-05-12T19:39:41.106-04:00;847;1;0;0.392698;0;nan;nan;nan;2570.79;1.02586;-0.107302;0.892698
2021-05-12T19:39:42.102-04:00;864;1;0;0.399379;0;nan;nan;nan;1882.35;0.72543;-0.100621;0.899379
2021-05-12T19:39:43.100-04:00;881;1;0;0.384015;0;nan;nan;nan;1176.13;0.628556;-0.115985;0.884015
2021-05-12T19:39:44.096-04:00;898;2;0;0.384057;0;nan;nan;nan;656.109;0.570958;-0.115943;0.884057
2021-05-12T19:39:45.093-04:00;915;2;0;0.385067;0;nan;nan;nan;364.738;0.464249;-0.114933;0.885067
2021-05-12T19:39:46.089-04:00;932;1;0;0.386783;0;nan;nan;nan;234.289;0.590948;-0.113217;0.886783
2021-05-12T19:39:47.086-04:00;949;1;0;0.382098;0;nan;nan;nan;185.384;0.564485;-0.117902;0.882098
2021-05-12T19:39:48.083-04:00;966;1;0;0.384196;0;nan;nan;nan;161.02;0.337631;-0.115804;0.884196
2021-05-12T19:39:49.080-04:00;983;1;0;0.383821;0;nan;nan;nan;125.534;0.32468;-0.116179;0.883821
2021-05-12T19:39:50.077-04:00;1000;2;0;0.377069;0;nan;nan;nan;85.5573;0.853453;-0.122931;0.877069
2021-05-12T19:39:51.074-04:00;1017;2;0;0.379145;0;nan;nan;nan;57.2974;1.63092;-0.120855;0.879145
2021-05-12T19:39:52.071-04:00;1034;2;0;0.381305;0;nan;nan;nan;45.4638;1.6597;-0.118695;0.881305
2021-05-12T19:39:53.067-04:00;1051;2;0;0.381914;0;nan;nan;nan;41.1317;1.58995;-0.118086;0.881914
2021-05-12T19:39:54.064-04:00;1068;2;0;0.387656;0;nan;nan;nan;36.995;1.16725;-0.112344;0.887656
2021-05-12T19:39:55.061-04:00;1085;0;11.2814;0.733598;0;nan;nan;nan;31.8209;1.82328;0.233598;1.2336
2021-05-12T19:39:56.058-04:00;1102;0;11.2814;0.733598;0;nan;nan;nan;30.5259;2.22927;0.233598;1.2336
2021-05-12T19:39:57.055-04:00;1119;0;11.2814;0.733598;0;nan;nan;nan;33.8654;2.74101;0.233598;1.2336
2021-05-12T19:39:58.052-04:00;1136;0;11.2814;0.733598;0;nan;nan;nan;41.0645;4.27642;0.233598;1.2336
2021-05-12T19:39:59.049-04:00;1153;1;0;0.70979;0;nan;nan;nan;51.7632;5.00625;0.20979;1.20979
2021-05-12T19:40:00.045-04:00;1170;1;0;0.704067;0;nan;nan;nan;61.4753;4.27413;0.204067;1.20407
2021-05-12T19:40:01.043-04:00;1187;2;0;0.704986;0;nan;nan;nan;65.4036;2.21083;0.204986;1.20499
2021-05-12T19:40:02.039-04:00;1204;2;0;0.706097;0;nan;nan;nan;65.4599;1.14918;0.206097;1.2061
2021-05-12T19:40:03.036-04:00;1221;2;0;0.719305;0;nan;nan;nan;61.714;0.794438;0.219305;1.21931
2021-05-12T19:40:04.033-04:00;1238;2;0;0.718024;0;nan;nan;nan;53.6297;0.517171;0.218024;1.21802
2021-05-12T19:40:05.030-04:00;1255;1;0;0.716701;0;nan;nan;nan;45.1981;0.653368;0.216701;1.2167
2021-05-12T19:40:06.026-04:00;1272;1;0;0.39444;0;nan;nan;nan;40.8937;1.04661;-0.10556;0.89444
2021-05-12T19:40:07.024-04:00;1289;2;0;0.400129;0;nan;nan;nan;45.9835;1.90658;-0.0998708;0.900129
2021-05-12T19:40:08.020-04:00;1306;1;0;0.404179;0;nan;nan;nan;60.6891;1.51817;-0.0958207;0.904179
2021-05-12T19:40:09.018-04:00;1323;1;0;0.40753;0;nan;nan;nan;74.2016;0.831092;-0.0924704;0.90753
